Dt,Close
2017-12-27,255.95
2017-12-28,256.5
2017-12-29,254.76
2018-01-02,255.67
2018-01-03,253.29
2018-01-04,256.83
2018-01-05,255.52
2018-01-08,251.81
2018-01-09,253.94
2018-01-10,254.33
2018-01-11,255.13
2018-01-12,257.03
2018-01-16,258.46
2018-01-17,253.65
2018-01-18,250.97
2018-01-19,256.12
2018-01-22,261.52
2018-01-23,260.09
2018-01-24,265.68
2018-01-25,269.03
2018-01-26,268.14
2018-01-29,272.48
2018-01-30,268.94
2018-01-31,267.89
2018-02-01,272.23
2018-02-02,260.04
2018-02-05,249.11
2018-02-06,258.7
2018-02-07,257.1
2018-02-08,246.35
2018-02-09,249.3
2018-02-12,253.16
2018-02-13,255.53
2018-02-14,262.58
2018-02-15,267.68
2018-02-16,267.62
2018-02-20,264.89
2018-02-21,263.4
2018-02-22,261.43
2018-02-23,266.77
2018-02-26,271.26
2018-02-27,267.93
2018-02-28,262.93
2018-03-01,256.78
2018-03-02,258.12
2018-03-05,263.12
2018-03-06,266.93
2018-03-07,265.35
2018-03-08,266.34
2018-03-09,270.77
2018-03-12,273.38
2018-03-13,268.53
2018-03-14,264.43
2018-03-15,266.61
2018-03-16,267.6
2018-03-19,262.53
2018-03-20,263.19
2018-03-21,261.85
2018-03-22,252.6
2018-03-23,245.26
2018-03-26,254.88
2018-03-27,247.26
2018-03-28,249.37
2018-03-29,251.86
2018-04-02,247.35
2018-04-03,250.58
2018-04-04,252.62
2018-04-05,255.81
2018-04-06,249.97
2018-04-09,252.19
2018-04-10,256.57
2018-04-11,252.94
2018-04-12,259.59
2018-04-13,255.92
2018-04-16,257.88
2018-04-17,253.63
2018-04-18,254.0
2018-04-19,254.17
2018-04-20,251.96
2018-04-23,246.67
2018-04-24,242.49
2018-04-25,239.23
2018-04-26,240.09
2018-04-27,239.8
2018-04-30,238.33
2018-05-01,236.67
2018-05-02,234.05
2018-05-03,233.41
2018-05-04,234.94
2018-05-07,237.2
2018-05-08,237.0
2018-05-09,241.73
2018-05-10,243.44
2018-05-11,242.92
2018-05-14,243.91
2018-05-15,241.56
2018-05-16,240.96
2018-05-17,239.1
2018-05-18,237.0
2018-05-21,237.7
2018-05-22,238.0
2018-05-23,237.81
2018-05-24,236.1
2018-05-25,235.01
2018-05-29,227.03
2018-05-30,229.16
2018-05-31,225.88
2018-06-01,228.35
2018-06-04,229.89
2018-06-05,228.34
2018-06-06,232.23
2018-06-07,233.45
2018-06-08,233.39
2018-06-11,234.09
2018-06-12,232.63
2018-06-13,233.83
2018-06-14,233.65
2018-06-15,231.92
2018-06-18,231.39
2018-06-19,228.32
2018-06-20,227.82
2018-06-21,226.98
2018-06-22,226.02
2018-06-25,221.54
2018-06-26,221.58
2018-06-27,220.18
2018-06-28,223.42
2018-06-29,220.57
2018-07-02,223.26
2018-07-03,220.38
2018-07-05,220.74
2018-07-06,221.79
2018-07-09,227.99
2018-07-10,226.85
2018-07-11,225.66
2018-07-12,227.22
2018-07-13,226.41
2018-07-16,231.44
2018-07-17,231.02
2018-07-18,231.24
2018-07-19,229.63
2018-07-20,231.69
2018-07-23,233.76
2018-07-24,235.88
2018-07-25,236.69
2018-07-26,237.11
2018-07-27,237.64
2018-07-30,238.95
2018-07-31,237.43
2018-08-01,236.04
2018-08-02,233.99
2018-08-03,234.09
2018-08-06,235.93
2018-08-07,237.83
2018-08-08,236.37
2018-08-09,233.78
2018-08-10,229.61
2018-08-13,226.86
2018-08-14,229.56
2018-08-15,229.25
2018-08-16,233.0
2018-08-17,233.38
2018-08-20,235.78
2018-08-21,238.65
2018-08-22,239.34
2018-08-23,236.34
2018-08-24,235.11
2018-08-27,242.6
2018-08-28,242.37
2018-08-29,241.4
2018-08-30,239.4
2018-08-31,237.81
2018-09-04,237.66
2018-09-05,237.56
2018-09-06,234.52
2018-09-07,233.91
2018-09-10,231.91
2018-09-11,230.21
2018-09-12,228.15
2018-09-13,228.33
2018-09-14,229.24
2018-09-17,227.89
2018-09-18,228.89
2018-09-19,235.58
2018-09-20,237.4
2018-09-21,235.34
2018-09-24,232.9
2018-09-25,232.5
2018-09-26,228.88
2018-09-27,227.74
2018-09-28,224.24
2018-10-01,225.33
2018-10-02,226.07
2018-10-03,227.78
2018-10-04,227.48
2018-10-05,225.71
2018-10-08,225.35
2018-10-09,222.91
2018-10-10,214.89
2018-10-11,212.97
2018-10-12,213.87
2018-10-15,215.22
2018-10-16,221.7
2018-10-17,228.28
2018-10-18,224.95
2018-10-19,226.96
2018-10-22,221.6
2018-10-23,218.56
2018-10-24,209.18
2018-10-25,214.01
2018-10-26,212.36
2018-10-29,214.49
2018-10-30,219.28
2018-10-31,225.37
2018-11-01,226.97
2018-11-02,229.69
2018-11-05,228.72
2018-11-06,228.2
2018-11-07,231.28
2018-11-08,231.65
2018-11-09,222.65
2018-11-12,206.05
2018-11-13,205.05
2018-11-14,202.49
2018-11-15,203.74
2018-11-16,202.12
2018-11-19,198.22
2018-11-20,191.34
2018-11-21,192.6
2018-11-23,189.1
2018-11-26,194.34
2018-11-27,193.65
2018-11-28,198.35
2018-11-29,194.85
2018-11-30,190.69
2018-12-03,191.63
2018-12-04,184.31
2018-12-06,184.09
2018-12-07,179.67
2018-12-10,178.83
2018-12-11,176.8
2018-12-12,176.7
2018-12-13,175.92
2018-12-14,172.77
2018-12-17,168.01
